"","batsman","tot_runs"
"1","V Kohli",5434
"2","SK Raina",5415
"3","RG Sharma",4914
"4","DA Warner",4741
"5","S Dhawan",4632
"6","CH Gayle",4560
"7","MS Dhoni",4477
"8","RV Uthappa",4446
"9","AB de Villiers",4428
"10","G Gambhir",4223
"11","AM Rahane",3850
"12","KD Karthik",3688
"13","SR Watson",3614
"14","AT Rayudu",3326
"15","YK Pathan",3241
"16","BB McCullum",2893
"17","PA Patel",2874
"18","MK Pandey",2872
"19","KA Pollard",2784
"20","Yuvraj Singh",2765
"21","V Sehwag",2728
"22","M Vijay",2590
"23","SE Marsh",2489
"24","JH Kallis",2427
"25","DR Smith",2385
"26","SR Tendulkar",2334
"27","SV Samson",2235
"28","R Dravid",2174
"29","AC Gilchrist",2069
"30","SPD Smith",2047
"31","JP Duminy",2041
"32","KL Rahul",2013
"33","MEK Hussey",1977
"34","RA Jadeja",1951
"35","DA Miller",1875
"36","F du Plessis",1874
"37","DPMD Jayawardene",1808
"38","RR Pant",1792
"39","WP Saha",1780
"40","AJ Finch",1744
"41","SS Iyer",1714
"42","MK Tiwary",1697
"43","KC Sangakkara",1687
"44","NV Ojha",1555
"45","Mandeep Singh",1547
"46","DJ Bravo",1498
"47","Q de Kock",1489
"48","KK Nair",1470
"49","AD Russell",1445
"50","S Badrinath",1441
"51","JC Buttler",1431
"52","GJ Maxwell",1403
"53","BJ Hodge",1400
"54","SC Ganguly",1349
"55","DJ Hussey",1322
"56","KS Williamson",1319
"57","CA Lynn",1308
"58","MA Agarwal",1276
"59","SS Tiwary",1276
"60","TM Dilshan",1153
"61","IK Pathan",1150
"62","HH Pandya",1118
"63","ML Hayden",1107
"64","N Rana",1104
"65","KM Jadhav",1091
"66","LMP Simmons",1079
"67","LRPL Taylor",1017
"68","M Vohra",1016
"69","AS Yadav",1011
"70","KP Pietersen",1001
"71","Y Venugopal Rao",985
"72","JA Morkel",975
"73","A Symonds",974
"74","CL White",971
"75","MC Henriques",969
"76","KH Pandya",915
"77","HH Gibbs",886
"78","STR Binny",882
"79","EJG Morgan",854
"80","Harbhajan Singh",834
"81","AR Patel",806
"82","SP Narine",803
"83","MS Bisla",798
"84","RA Tripathi",771
"85","ST Jayasuriya",768
"86","Shakib Al Hasan",759
"87","GC Smith",739
"88","AD Mathews",724
"89","Ishan Kishan",711
"90","TL Suman",676
"91","AM Nayar",672
"92","GJ Bailey",663
"93","BA Stokes",647
"94","P Shaw",616
"95","SA Yadav",608
"96","JD Ryder",604
"97","PP Chawla",587
"98","HM Amla",577
"99","V Shankar",574
"100","CJ Anderson",538
"101","DJ Hooda",535
"102","RS Bopara",531
"103","JP Faulkner",527
"104","CH Morris",520
"105","S Gill",517
"106","M Manhas",514
"107","OA Shah",506
"108","PC Valthaty",505
"109","MP Stoinis",482
"110","J Bairstow",468
"111","E Lewis",464
"112","DT Christian",448
"113","Gurkeerat Singh",446
"114","NLTC Perera",424
"115","SA Asnodkar",423
"116","JR Hopes",417
"117","SN Khan",416
"118","J Botha",409
"119","LR Shukla",405
"120","AL Menaria",401
"121","MV Boucher",394
"122","CA Pujara",390
"123","Azhar Mahmood",388
"124","R Ashwin",382
"125","DB Ravi Teja",375
"126","A Mishra",368
"127","S Sohal",368
"128","P Negi",366
"129","R Bhatia",342
"130","P Kumar",340
"131","AP Tare",339
"132","SW Billings",338
"133","JEC Franklin",327
"134","RN ten Doeschate",326
"135","KV Sharma",317
"136","C de Grandhomme",313
"137","M Ali",311
"138","R Vinay Kumar",311
"139","DB Das",304
"140","LA Pomersbach",302
"141","SP Goswami",301
"142","UBT Chand",300
"143","DJG Sammy",295
"144","Y Nagar",285
"145","VVS Laxman",282
"146","A Ashish Reddy",280
"147","B Chipli",280
"148","GH Vihari",280
"149","MJ Lumb",278
"150","MJ Guptill",271
"151","R Sathish",270
"152","M Kaif",259
"153","SM Katich",241
"154","BCJ Cutting",240
"155","MD Mishra",237
"156","MR Marsh",225
"157","K Goel",218
"158","AA Jhunjhunwala",217
"159","TM Head",205
"160","PD Collingwood",203
"161","SK Warne",198
"162","SP Fleming",196
"163","AS Raut",194
"164","BJ Rohrer",193
"165","Salman Butt",193
"166","YV Takawale",192
"167","B Kumar",190
"168","CR Brathwaite",188
"169","Bipul Sharma",187
"170","C Ingram",187
"171","JJ Roy",186
"172","FY Fazal",183
"173","AC Voges",181
"174","C Munro",180
"175","AB Agarkar",179
"176","MF Maharoof",177
"177","N Pooran",177
"178","DH Yagnik",170
"179","CM Gautam",169
"180","R Parag",169
"181","MG Johnson",168
"182","MN van Wyk",167
"183","DW Steyn",166
"184","Ankit Sharma",164
"185","PA Reddy",164
"186","MN Samuels",161
"187","R McLaren",159
"188","RE van der Merwe",159
"189","R Dhawan",153
"190","A Hales",152
"191","K Gowtham",148
"192","SM Pollock",147
"193","Mohammad Nabi",146
"194","S Vidyut",145
"195","N Saini",143
"196","Sachin Baby",137
"197","S Anirudha",136
"198","S Gopal",131
"199","SB Styris",131
"200","W Jaffer",130
"201","Kamran Akmal",128
"202","D Wiese",127
"203","P Dogra",127
"204","UT Khawaja",127
"205","UT Yadav",127
"206","M Morkel",126
"207","BB Samantray",125
"208","MC Juneja",125
"209","B Lee",124
"210","MM Sharma",124
"211","AB McDonald",123
"212","D Short",123
"213","DL Vettori",121
"214","Niraj Patel",121
"215","AC Blizzard",120
"216","R Tewatia",119
"217","Misbah-ul-Haq",117
"218","RJ Harris",117
"219","Z Khan",117
"220","KK Cooper",116
"221","TG Southee",115
"222","M Kartik",113
"223","DJ Harris",111
"224","Rashid Khan",109
"225","HV Patel",108
"226","JDP Oram",106
"227","LJ Wright",106
"228","RJ Quiney",103
"229","DS Kulkarni",101
"230","MS Gony",99
"231","SD Chitnis",99
"232","CJ Ferguson",98
"233","MJ Clarke",98
"234","MA Starc",96
"235","S Curran",95
"236","AJ Tye",94
"237","S Hetmyer",93
"238","DJ Jacobs",92
"239","PR Shah",92
"240","AD Nath",91
"241","MJ McClenaghan",91
"242","RT Ponting",91
"243","S Rana",91
"244","Iqbal Abdulla",88
"245","SL Malinga",88
"246","AP Majumdar",87
"247","J Archer",85
"248","RE Levi",83
"249","S Rutherford",82
"250","LA Carseldine",81
"251","Shahid Afridi",81
"252","WPUJC Vaas",81
"253","AD Mascarenhas",79
"254","Washington Sundar",79
"255","PJ Cummins",77
"256","B Akhil",76
"257","IR Jaggi",76
"258","TR Birt",75
"259","DL Chahar",73
"260","M Klinger",73
"261","R Singh",73
"262","RR Sarwan",73
"263","L Livingstone",72
"264","K Rabada",70
"265","AA Bilakhia",69
"266","H Klaasen",68
"267","RR Powar",67
"268","R Sharma",66
"269","Mohammad Hafeez",64
"270","Anirudh Singh",63
"271","CR Woakes",63
"272","WD Parnell",63
"273","A Flintoff",62
"274","S Aravind",59
"275","WA Mota",56
"276","I Sharma",55
"277","JD Unadkat",55
"278","M Rawat",55
"279","J Suchith",54
"280","Mohammed Shami",54
"281","A Chopra",53
"282","RR Rossouw",53
"283","NM Coulter-Nile",52
"284","RP Singh",52
"285","Shoaib Malik",52
"286","KB Arun Karthik",51
"287","R Rampaul",51
"288","RV Gomez",50
"289","AG Paunikar",49
"290","SB Bangar",49
"291","VR Aaron",49
"292","Yashpal Singh",47
"293","Kuldeep Yadav",46
"294","Sunny Singh",43
"295","AB Barath",42
"296","JDS Neesham",42
"297","SK Trivedi",42
"298","A Nehra",41
"299","BR Dunk",40
"300","LPC Silva",40
"301","S Dube",40
"302","AUK Pathan",39
"303","DJ Thornely",39
"304","MM Patel",39
"305","Umar Gul",39
"306","JO Holder",38
"307","SP Jackson",38
"308","Anureet Singh",37
"309","JJ Bumrah",37
"310","S Narwal",37
"311","AN Ahmed",36
"312","Joginder Sharma",36
"313","KW Richardson",36
"314","L Balaji",36
"315","SN Thakur",36
"316","Sohail Tanvir",36
"317","A Kumble",35
"318","B Sumanth",35
"319","M Santner",35
"320","A Mithun",34
"321","AP Dole",34
"322","L Ronchi",34
"323","Mohammed Siraj",34
"324","S Sreesanth",34
"325","D Salunkhe",33
"326","Basil Thampi",32
"327","RJ Peterson",32
"328","S Nadeem",32
"329","M Markande",31
"330","S Sriram",31
"331","T Taibu",31
"332","J Syed Mohammad",29
"333","VH Zol",29
"334","M Lomror",28
"335","SB Jakati",28
"336","AB Dinda",26
"337","JM Kemp",26
"338","NL McCullum",26
"339","Sandeep Sharma",26
"340","A Choudhary",25
"341","PJ Sangwan",25
"342","S Chanderpaul",25
"343","ER Dwivedi",24
"344","KC Cariappa",24
"345","MA Khote",24
"346","T Curran",24
"347","BMAJ Mendis",23
"348","J Arunkumar",23
"349","NS Naik",23
"350","SW Tait",23
"351","GB Hogg",22
"352","H Brar",22
"353","K Paul",22
"354","MS Wade",22
"355","YS Chahal",22
"356","CA Ingram",21
"357","DE Bollinger",21
"358","AC Thomas",20
"359","Harpreet Singh",20
"360","Imran Tahir",20
"361","M Muralitharan",20
"362","NJ Maddinson",20
"363","P R Barman",20
"364","RR Raje",20
"365","A Mukund",19
"366","DR Martyn",19
"367","P Sahu",19
"368","R Bishnoi",19
"369","R Shukla",19
"370","Vishnu Vinod",19
"371","Y Gnaneswara Rao",19
"372","AS Rajpoot",18
"373","BJ Haddin",18
"374","DS Lehmann",18
"375","Harmeet Singh",18
"376","JJ van der Wath",18
"377","PV Tambe",18
"378","Parvez Rasool",17
"379","S Singh",17
"380","CK Kapugedera",16
"381","D Shorey",16
"382","PP Ojha",16
"383","A Joseph",15
"384","C Madan",15
"385","GR Napier",15
"386","RD Chahar",15
"387","SA Abbott",15
"388","SD Lad",15
"389","VY Mahesh",15
"390","F Behardien",14
"391","MDKJ Perera",14
"392","DT Patil",13
"393","KJ Abbott",13
"394","S Badree",13
"395","S Mavi",13
"396","AA Chavan",12
"397","AR Bawne",12
"398","DAJ Bracewell",12
"399","K Upadhyay",12
"400","Karanveer Singh",12
"401","M Ur Rahman",12
"402","S Kaul",12
"403","Swapnil Singh",12
"404","T Thushara",12
"405","TA Boult",12
"406","BB Sran",11
"407","DNT Zoysa",11
"408","M Ntini",11
"409","T Henderson",11
"410","T Kohli",11
"411","AG Murtaza",10
"412","D du Preez",10
"413","I Sodhi",10
"414","J Theron",10
"415","KAJ Roach",10
"416","SMSM Senanayake",10
"417","TD Paine",10
"418","X Thalaivan Sargunam",10
"419","AA Noffke",9
"420","SM Harwood",9
"421","CJ McKay",8
"422","CK Langeveldt",8
"423","J Searles",8
"424","Jaskaran Singh",8
"425","N Naik",8
"426","P Chopra",8
"427","R Bhui",8
"428","S Sharma",8
"429","TM Srivastava",8
"430","TS Mills",8
"431","AF Milne",7
"432","AN Ghosh",7
"433","Ankit Soni",7
"434","I Malhotra",7
"435","Pankaj Singh",7
"436","UA Birla",7
"437","VS Malik",7
"438","BA Bhatt",6
"439","DM Bravo",6
"440","H Viljoen",6
"441","J Yadav",6
"442","PSP Handscomb",6
"443","SB Joshi",6
"444","SS Shaikh",6
"445","A Zampa",5
"446","B Laughlin",5
"447","B Stanlake",5
"448","KMDN Kulasekara",5
"449","P Awana",5
"450","R Salam",5
"451","Shivam Sharma",5
"452","SJ Srivastava",5
"453","A Chandila",4
"454","A Dananjaya",4
"455","A Turner",4
"456","A Uniyal",4
"457","Avesh Khan",4
"458","CRD Fernando",4
"459","DP Nannes",4
"460","FH Edwards",4
"461","GD McGrath",4
"462","H Vihari",4
"463","M Ashwin",4
"464","RS Sodhi",4
"465","VRV Singh",4
"466","BAW Mendis",3
"467","CJ Jordan",3
"468","D Kalyankrishna",3
"469","JE Taylor",3
"470","Kamran Khan",3
"471","M Wood",3
"472","Mohammad Asif",3
"473","R Ninan",3
"474","S Tyagi",3
"475","Younis Khan",3
"476","A Singh",2
"477","H Das",2
"478","KP Appanna",2
"479","Mashrafe Mortaza",2
"480","Mohammad Ashraful",2
"481","RG More",2
"482","RS Gavaskar",2
"483","S Randiv",2
"484","SB Wagh",2
"485","Shoaib Akhtar",2
"486","VS Yeligati",2
"487","BE Hendricks",1
"488","DJ Muthuswami",1
"489","DP Vijaykumar",1
"490","H Gurney",1
"491","L Plunkett",1
"492","LH Ferguson",1
"493","M de Lange",1
"494","Mustafizur Rahman",1
"495","NJ Rimmington",1
"496","P Krishna",1
"497","P Parameswaran",1
"498","PM Sarvesh Kumar",1
"499","SE Bond",1
"500","Shoaib Ahmed",1
"501","Abdur Razzak",0
"502","C Nanda",0
"503","IC Pandey",0
"504","J Denly",0
"505","K Ahmed",0
"506","L Ablish",0
"507","ND Doshi",0
"508","P Raj",0
"509","RR Bhatkal",0
"510","S Kaushik",0
"511","S Ladda",0
"512","S Lamichhane",0
"513","Sunny Gupta",0
"514","U Kaul",0
"515","V Pratap Singh",0
"516","YA Abdulla",0
